Name,SSD,orcid,hindex,openalex id,past_institutions_id,DS Department,ins_id
Luca Nespoli,,0000-0002-4945-5677,30.0,https://openalex.org/A5040821635,,0,https://openalex.org/I66752286
Stefano Granieri,,0000-0001-9167-3400,18.0,https://openalex.org/A5078947557,,0,https://openalex.org/I189158943
Simone Frassini,,0000-0003-1043-7401,11.0,https://openalex.org/A5017425808,,0,https://openalex.org/I4210151645
Elson Gjoni,,0000-0002-5271-2777,5.0,https://openalex.org/A5086298423,,0,https://openalex.org/I4210152301
Christian Cotsoglou,,0000-0002-6348-0027,25.0,https://openalex.org/A5078225592,,0,https://openalex.org/I4210153126
Diletta Fabrizi,,0000-0002-5152-8804,6.0,https://openalex.org/A5002988131,,0,https://openalex.org/I66752286
Giulia Locatelli,,0000-0003-1841-8379,7.0,https://openalex.org/A5082169964,,0,https://openalex.org/I66752286
Michela Luciani,,0000-0001-7598-5658,17.0,https://openalex.org/A5039031123,,0,https://openalex.org/I66752286
Mirko Agarla,,0000-0002-0009-8007,6.0,https://openalex.org/A5053322229,,0,https://openalex.org/I66752286
Luigi Celona,,0000-0002-5925-2646,13.0,https://openalex.org/A5065319505,,0,https://openalex.org/I66752286
Flavio Piccoli,,0000-0001-7432-4284,11.0,https://openalex.org/A5066752349,,0,https://openalex.org/I66752286
Raimondo Schettini,,0000-0001-7461-1451,44.0,https://openalex.org/A5028039581,,0,https://openalex.org/I66752286
Simone Zini,,0000-0002-8505-1581,6.0,https://openalex.org/A5006567602,,0,https://openalex.org/I66752286
Claudio Rota,,0000-0002-6086-9838,5.0,https://openalex.org/A5048328260,,0,https://openalex.org/I66752286
Marco Buzzelli,,0000-0003-1138-3345,13.0,https://openalex.org/A5005266091,,0,https://openalex.org/I66752286
Davide Marelli,,0000-0003-2389-0301,7.0,https://openalex.org/A5091562647,,0,https://openalex.org/I66752286
Gianluigi Ciocca,,0000-0003-2878-2131,27.0,https://openalex.org/A5044430636,,0,https://openalex.org/I66752286
Luca Morelli,,0000-0001-7180-2279,11.0,https://openalex.org/A5069958505,,0,https://openalex.org/I2277624104
Elisa Mariarosaria Farella,,0000-0002-3404-6395,14.0,https://openalex.org/A5020652744,,0,https://openalex.org/I2277624104
Fabio Remondino,,0000-0001-6097-5342,59.0,https://openalex.org/A5025841679,,0,https://openalex.org/I2277624104
Claudio Cusano,,0000-0001-9365-8167,25.0,https://openalex.org/A5039582068,,0,https://openalex.org/I25217355
Stephen G. Walker,,0000-0002-0497-238X,33.0,https://openalex.org/A5037434634,,0,https://openalex.org/I86519309
Xavier Emery,,0000-0003-0396-5038,28.0,https://openalex.org/A5001540398,,0,https://openalex.org/I69737025
Bernardo Nipoti,,0000-0003-1138-951X,10.0,https://openalex.org/A5046433222,,0,https://openalex.org/I66752286
Giuseppe Jurman,,0000-0002-2705-5728,38.0,https://openalex.org/A5090829168,,0,https://openalex.org/I2277624104
Luca Oneto,,0000-0002-8445-395X,34.0,https://openalex.org/A5045802198,,0,https://openalex.org/I4210139705
Giuseppe Agapito,,0000-0003-2868-7732,25.0,https://openalex.org/A5078020905,,0,https://openalex.org/I36443711
Matthijs J. Warrens,,0000-0002-7302-640X,28.0,https://openalex.org/A5026965468,,0,https://openalex.org/I169381384
Trent Faultless,,0000-0001-5172-3442,1.0,https://openalex.org/A5052632916,,0,https://openalex.org/I2801845744
Gabriel Cerono,,0000-0002-9411-2526,7.0,https://openalex.org/A5041140760,,0,https://openalex.org/I180670191
Ombretta Melaiu,,0000-0001-7118-5186,21.0,https://openalex.org/A5054732252,,0,https://openalex.org/I116067653
Simone Spolaor,,0000-0002-3383-367X,13.0,https://openalex.org/A5081323030,,0,https://openalex.org/I83019370
Marco S. Nobile,,0000-0002-7692-7203,23.0,https://openalex.org/A5043650939,,0,https://openalex.org/I149461666
В. В. Старовойтов,,0000-0001-7190-761X,12.0,https://openalex.org/A5072747194,,0,https://openalex.org/I4210105192
Federica Filippini,,0000-0002-6549-924X,4.0,https://openalex.org/A5045656543,,0,https://openalex.org/I66752286
