id,Name,ins_id,ins_name,ins_type,ins_country,topics,hindex,orcid
https://openalex.org/A5045531611,Nicolas Ferranti,https://openalex.org/I102248843,Vienna University of Economics and Business,education,AT,"['Semantic Web and Ontologies', 'Service-Oriented Architecture and Web Services', 'Data Quality and Management', 'Scientific Computing and Data Management', 'Biomedical Text Mining and Ontologies']",4,0000-0002-5574-1987
https://openalex.org/A5073473252,Daniel Hernández,https://openalex.org/I100066346,University of Stuttgart,funder,DE,"['Semantic Web and Ontologies', 'Advanced Database Systems and Queries', 'Advanced Graph Neural Networks', 'Graph Theory and Algorithms', 'Topic Modeling']",5,0000-0002-7896-0875
https://openalex.org/A5070504151,Aidan Hogan,https://openalex.org/I4210167034,Millennium Institute for Integrative Biology,other,CL,"['Semantic Web and Ontologies', 'Advanced Database Systems and Queries', 'Data Quality and Management', 'Natural Language Processing Techniques', 'Graph Theory and Algorithms']",37,0000-0001-9482-1982
https://openalex.org/A5044205742,Gian Carlo Milanese,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Semantic Web and Ontologies', 'Logic, Reasoning, and Knowledge', 'Biomedical Text Mining and Ontologies', 'Logic, programming, and type systems', 'Natural Language Processing Techniques']",2,0000-0002-1757-0152
https://openalex.org/A5059759006,Arian Askari,https://openalex.org/I121797337,Leiden University,funder,NL,"['Topic Modeling', 'Natural Language Processing Techniques', 'Text and Document Classification Technologies', 'Information Retrieval and Search Behavior', 'Artificial Intelligence in Law']",7,0000-0003-4712-832X
https://openalex.org/A5027124439,Suzan Verberne,https://openalex.org/I121797337,Leiden University,funder,NL,"['Topic Modeling', 'Natural Language Processing Techniques', 'Information Retrieval and Search Behavior', 'Advanced Text Analysis Techniques', 'Semantic Web and Ontologies']",26,0000-0002-9609-9505
https://openalex.org/A5075022002,Amin Abolghasemi,https://openalex.org/I121797337,Leiden University,funder,NL,"['Topic Modeling', 'Natural Language Processing Techniques', 'Information Retrieval and Search Behavior', 'Domain Adaptation and Few-Shot Learning', 'Text and Document Classification Technologies']",5,0009-0002-3725-7312
https://openalex.org/A5049624750,Wessel Kraaij,https://openalex.org/I121797337,Leiden University,funder,NL,"['Natural Language Processing Techniques', 'Video Analysis and Summarization', 'Topic Modeling', 'Information Retrieval and Search Behavior', 'Advanced Image and Video Retrieval Techniques']",35,0000-0001-7797-619X
https://openalex.org/A5017640722,Rishabh Upadhyay,https://openalex.org/I4210109742,Shree Krishna Hospital,healthcare,IN,"['Topic Modeling', 'Misinformation and Its Impacts', 'Advanced Text Analysis Techniques', 'Diverse Scientific Research Studies', 'Information Retrieval and Search Behavior']",6,0000-0001-9937-6494
https://openalex.org/A5043520582,Cristina Crocamo,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Schizophrenia research and treatment', 'Bipolar Disorder and Treatment', 'Tryptophan and brain disorders', 'Mental Health Treatment and Access', 'Substance Abuse Treatment and Outcomes']",36,0000-0002-2979-2107
https://openalex.org/A5086294946,Matteo Mazzola,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Non-Invasive Vital Sign Monitoring', 'Sentiment Analysis and Opinion Mining', 'ECG Monitoring and Analysis', 'Heart Rate Variability and Autonomic Control', 'Mental Health via Writing']",2,0000-0001-9548-8720
https://openalex.org/A5090198360,Francesco Bartoli,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Bipolar Disorder and Treatment', 'Schizophrenia research and treatment', 'Tryptophan and brain disorders', 'Treatment of Major Depression', 'Substance Abuse Treatment and Outcomes']",37,0000-0003-2612-4119
https://openalex.org/A5010094006,Giuseppe Carrà,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Schizophrenia research and treatment', 'Bipolar Disorder and Treatment', 'Mental Health Treatment and Access', 'Tryptophan and brain disorders', 'Substance Abuse Treatment and Outcomes']",53,0000-0002-6877-6169
https://openalex.org/A5062228577,Lorraine Goeuriot,https://openalex.org/I899635006,Université Grenoble Alpes,funder,FR,"['Topic Modeling', 'Biomedical Text Mining and Ontologies', 'Natural Language Processing Techniques', 'Information Retrieval and Search Behavior', 'Text and Document Classification Technologies']",20,0000-0001-7491-1980
https://openalex.org/A5059778915,Hanna Suominen,https://openalex.org/I118347636,Australian National University,funder,AU,"['Topic Modeling', 'Biomedical Text Mining and Ontologies', 'Natural Language Processing Techniques', 'Electronic Health Records Systems', 'Nursing Diagnosis and Documentation']",35,0000-0002-4195-1641
https://openalex.org/A5031680216,Liadh Kelly,https://openalex.org/I157286207,"National University of Ireland, Maynooth",funder,IE,"['Biomedical Text Mining and Ontologies', 'Topic Modeling', 'Personal Information Management and User Behavior', 'Natural Language Processing Techniques', 'Information Retrieval and Search Behavior']",22,0000-0003-1131-5238
https://openalex.org/A5051147636,Antonio Miranda-Escalada,https://openalex.org/I9617848,Universitat Politècnica de Catalunya,funder,ES,"['Natural Language Processing Techniques', 'Biomedical Text Mining and Ontologies', 'Topic Modeling', 'Spanish Linguistics and Language Studies', 'Lung Cancer Treatments and Mutations']",8,0000-0002-5654-001X
https://openalex.org/A5007203127,Martin Krallinger,https://openalex.org/I9617848,Universitat Politècnica de Catalunya,funder,ES,"['Biomedical Text Mining and Ontologies', 'Natural Language Processing Techniques', 'Topic Modeling', 'Semantic Web and Ontologies', 'Bioinformatics and Genomic Networks']",35,0000-0002-2646-8782
https://openalex.org/A5018544005,Gabriela González-Sáez,https://openalex.org/I4210104430,Laboratoire d'Informatique de Grenoble,facility,FR,"['Topic Modeling', 'Natural Language Processing Techniques', 'Advanced Text Analysis Techniques', 'Information Retrieval and Search Behavior', 'Semantic Web and Ontologies']",3,0000-0003-0878-5263
https://openalex.org/A5025519390,Oktovianus Rerung,https://openalex.org/I4210133755,Universitas Muhammadiyah Kupang,education,ID,"['Aluminum Alloys Composites Properties', 'Textile materials and evaluations', 'Industrial Vision Systems and Defect Detection', 'Engineering Applied Research', 'Electric Motor Design and Analysis']",1,0000-0001-2345-6789
https://openalex.org/A5003654383,Xiancheng Li,https://openalex.org/I2799858192,London School of Business and Management,education,GB,"['Bladder and Urothelial Cancer Treatments', 'Health Literacy and Information Accessibility', 'Digital Mental Health Interventions', 'Renal cell carcinoma treatment', 'Kidney Stones and Urolithiasis Treatments']",9,0009-0003-3734-1634
https://openalex.org/A5064435268,Neil Coulson,https://openalex.org/I142263535,University of Nottingham,funder,GB,"['Health Literacy and Information Accessibility', 'Social Media in Health Education', 'Mental Health and Patient Involvement', 'Digital Mental Health Interventions', 'Impact of Technology on Adolescents']",36,0000-0001-9940-909X
https://openalex.org/A5091770864,Anna De Simoni,https://openalex.org/I166337079,Queen Mary University of London,funder,GB,"['Health Literacy and Information Accessibility', 'Asthma and respiratory diseases', 'Social Media in Health Education', 'Mobile Health and mHealth Applications', 'Digital Mental Health Interventions']",21,0000-0001-6955-0885
https://openalex.org/A5063789850,Elias Bassani,https://openalex.org/I66752286,University of Milano-Bicocca,funder,IT,"['Topic Modeling', 'Information Retrieval and Search Behavior', 'Recommender Systems and Techniques', 'Cancer-related gene regulation', 'Wikis in Education and Collaboration']",5,0000-0001-7922-2578
https://openalex.org/A5020777801,Giacomo Sbrana,https://openalex.org/I1289910757,NEOMA Business School,education,FR,"['Forecasting Techniques and Applications', 'Financial Risk and Volatility Modeling', 'Monetary Policy and Economic Impact', 'Complex Systems and Time Series Analysis', 'Market Dynamics and Volatility']",11,0000-0002-5378-6233
